tmdbid,Lookup ID,URL,Featured Review
16320,16320-serenity,https://www.themoviedb.org/movie/16320-serenity,"This is the captain. We have a little problem with our entry sequence, so we may experience some slight turbulence and then - explode."
6519,6519-the-dukes-of-hazzard,https://www.themoviedb.org/movie/6519-the-dukes-of-hazzard,"Bad watch, probably won't watch again, and can't recommend."
11453,11453-deuce-bigalow-european-gigolo,https://www.themoviedb.org/movie/11453-deuce-bigalow-european-gigolo,"Bad watch, probably won't watch again, and can't recommend unless you're just a huge fan of Rob Schneider or ""Deuce Bigalow""."
9913,9913-the-skeleton-key,https://www.themoviedb.org/movie/9913-the-skeleton-key,"The Louisiana bayou, an antebellum mansion, Hoodoo and Kate Hudson"
13922,13922-the-great-raid,https://www.themoviedb.org/movie/13922-the-great-raid,The most successful rescue mission in American history
501,501-grizzly-man,https://www.themoviedb.org/movie/501-grizzly-man,"Chilling first-hand documentation of a very brave young man, renouncing society and trying to find meaning among ferocious creatures in the wild.
Tragic yet heart-warming"
25199,25199-teen-witch,https://www.themoviedb.org/movie/25199-teen-witch,"Fun, energetic 80’s teen flick about gaining supernatural powers and the repercussions"
11460,11460-red-eye,https://www.themoviedb.org/movie/11460-red-eye,"""Lisa"" (Rachel McAdams) is chatting away to her fellow passenger on an aircraft when suddenly things all start to take a bit of a menacing turn. It turns out that ""Rippner"" (Cillian Murphy) needs her to contact the hotel in which she works and get them to move a visiting - and important - family to a new suite. Should she not acquiesce to this perfectly reasonable request, then he has a pal on the ground who is all set to bump off her father ""Joe"" (Brian Cox). For the first half an hour, this is quite an effective thriller - the dynamic between the two, with her hemmed into her increasingly cla...read the rest."
14175,14175-valiant,https://www.themoviedb.org/movie/14175-valiant,"Rewatched this as part of my Disney marathon, controversially I guess as is it really a Disney film? I'm gonna count it."
4442,4442-the-brothers-grimm,https://www.themoviedb.org/movie/4442-the-brothers-grimm,"Does it deserve 10 stars? No, but I look at this as a thumbs up or thumbs down thing, and it's getting thumbs up, sooo...disclaimer there."
9042,9042-the-cave,https://www.themoviedb.org/movie/9042-the-cave,"Predictable B movie creature feature that doesn't get past budget restraints, a weak script and a lack of adequate direction."
9335,9335-transporter-2,https://www.themoviedb.org/movie/9335-transporter-2,"Not quite as good with some outlandish action scenes but like Statham and Kate Nauta (Oregon gal as it turns out) is hot, though she is a model, and her ""acting"" shows it. Still thought it was fine all in all. *3.0/5 *"
9007,9007-just-like-heaven,https://www.themoviedb.org/movie/9007-just-like-heaven,"It's a little heavy-footed and almost tries too hard, yet I quite enjoyed 'Just Like Heaven'."
9777,9777-proof,https://www.themoviedb.org/movie/9777-proof,"Math is an exact science. A mathematical proof is a demonstration of this exactness. Math can also be, according to those who study it, beautiful – an art form even; in that sense, Proof is an aptly titled film in which mathematics overlaps with metaphysics, poetry and even faith."
7182,7182-venom,https://www.themoviedb.org/movie/7182-venom,"Awesome swamp sets/photography, but prosaic story with too many slasher clichés"
8814,8814-doom,https://www.themoviedb.org/movie/8814-doom,"Now you could watch this, I guess, I wouldn't stop you. But for a movie only a decade and change old,Doomhas datedhard, and it's not just 'cause of that garbage CGI."
9923,9923-domino,https://www.themoviedb.org/movie/9923-domino,"This is a movie I previously watched 15+ years ago, didn't like it then; still don't like it today. Tony Soctt's style, which leaned much more toward gritty oversaturation in his latter films, was a bit too much for me, as was the frenetic direction and editing which failed in keeping me entertained or caring for any of these characters, and this coming from someone who loves Keira Knightley. On the plus side, at least the video and audio still hold up, shame the rest of film, and its good cast, never came together.2.0/5"
7553,7553-waiting,https://www.themoviedb.org/movie/7553-waiting,"Great watch, will likely watch again, and do recommend."
8202,8202-aeon-flux,https://www.themoviedb.org/movie/8202-aeon-flux,"Not really that good of a movie, but it's action packed tho. Some of the fight scenes are pretty awesome."
